,DOE,Fit_Try3
282,doe1205,-1.0
283,doe1207,-1.0
284,doe1209,-2.4
285,doe1211,-2.4
286,doe1213,-3.0
287,doe1215,-3.0
288,doe1217,-4.1
289,doe1219,-3.7
290,doe1221,-3.9
291,doe1223,-3.7
292,doe1225,-6.0
293,doe1227,-5.8
294,doe1229,-6.0
295,doe1231,-5.7
296,doe1233,-1.4
297,doe1235,-1.5
298,doe1237,-1.5
299,doe1239,-1.6
300,doe1241,-3.4
301,doe1243,-3.3
302,doe1245,-3.5
303,doe1247,-3.5
304,doe1249,-4.1
305,doe1251,-4.1
306,doe1253,-4.1
307,doe1255,-4.1
308,doe1257,-6.0
309,doe1259,-6.0
310,doe1261,-6.0
311,doe1263,-6.0
312,doe1265,-1.4
313,doe1267,-1.4
314,doe1269,-1.5
315,doe1271,-1.5
316,doe1273,-3.1
317,doe1275,-3.2
318,doe1277,-3.3
319,doe1279,-3.3
320,doe1281,0.6
321,doe1283,0.5
322,doe1285,0.7
323,doe1287,0.5
324,doe1289,0.8
325,doe1291,0.8
326,doe1293,0.8
327,doe1295,0.8
328,doe1297,-3.3
329,doe1299,-3.1
330,doe1301,-4.1
331,doe1303,-4.1
332,doe1305,-2.0
333,doe1307,-1.9
334,doe1309,-2.7
335,doe1311,-2.7
336,doe1313,0.2
337,doe1315,0.1
338,doe1317,0.3
339,doe1319,0.2
340,doe1321,0.5
341,doe1323,0.5
342,doe1325,0.6
343,doe1327,0.5
344,doe1329,-4.1
345,doe1331,-4.3
346,doe1333,-4.7
347,doe1335,-4.9
348,doe1337,-2.5
349,doe1339,-2.7
350,doe1341,-3.2
351,doe1343,-3.3
352,doe1345,-0.2
353,doe1347,-0.4
354,doe1349,-0.1
355,doe1351,-0.4
356,doe1353,0.4
357,doe1355,0.4
358,doe1357,0.4
359,doe1359,0.4
360,doe1361,-3.3
361,doe1363,-3.2
362,doe1365,-3.3
363,doe1367,-3.2
364,doe1369,-2.1
365,doe1371,-2.0
366,doe1373,-2.2
367,doe1375,-2.1
368,doe1377,-0.0
369,doe1379,-0.1
370,doe1381,0.0
371,doe1383,-0.1
372,doe1385,0.4
373,doe1387,0.3
374,doe1389,0.4
375,doe1391,0.3
376,doe1393,-4.3
377,doe1395,-4.4
378,doe1397,-4.3
379,doe1399,-4.4
380,doe1401,-2.6
381,doe1403,-2.7
382,doe1405,-2.6
383,doe1407,-2.7
384,doe1409,-1.5
385,doe1411,-1.3
386,doe1413,-1.9
387,doe1415,-1.8
388,doe1417,-3.0
389,doe1419,-2.4
390,doe1421,-3.6
391,doe1423,-3.2
392,doe1425,-3.8
393,doe1427,-3.8
394,doe1429,-4.3
395,doe1431,-4.3
396,doe1433,-5.6
397,doe1435,-5.3
398,doe1437,-5.6
399,doe1439,-5.6
400,doe1441,-1.5
401,doe1443,-1.5
402,doe1445,-1.8
403,doe1447,-1.9
404,doe1449,-3.0
405,doe1451,-3.0
406,doe1453,-3.3
407,doe1455,-3.3
408,doe1457,-3.8
409,doe1459,-3.8
410,doe1461,-4.1
411,doe1463,-4.1
412,doe1465,-5.4
413,doe1467,-5.4
414,doe1469,-5.6
415,doe1471,-5.6
416,doe1473,-2.7
417,doe1475,-2.3
418,doe1477,-2.5
419,doe1479,-2.3
420,doe1481,-4.4
421,doe1483,-4.0
422,doe1485,-4.3
423,doe1487,-4.0
424,doe1489,-4.0
425,doe1491,-3.9
426,doe1493,-4.0
427,doe1495,-3.9
428,doe1497,-5.5
429,doe1499,-5.5
430,doe1501,-5.6
431,doe1503,-5.6
432,doe1505,-2.2
433,doe1507,-2.3
434,doe1509,-2.2
435,doe1511,-2.3
436,doe1513,-4.4
437,doe1515,-4.4
438,doe1517,-4.4
439,doe1519,-4.4
440,doe1521,-3.8
441,doe1523,-3.8
442,doe1525,-3.8
443,doe1527,-3.8
444,doe1529,-5.5
445,doe1531,-5.5
446,doe1533,-5.5
447,doe1535,-5.6
448,doe1569,-0.2
449,doe1571,-0.1
450,doe1573,-0.3
451,doe1575,-0.3
452,doe1577,0.3
453,doe1579,0.2
454,doe1581,0.3
455,doe1583,0.2
456,doe1585,-0.2
457,doe1587,-0.2
458,doe1589,-0.3
459,doe1591,-0.4
460,doe1593,-0.0
461,doe1595,0.1
462,doe1597,0.0
463,doe1599,0.1
464,doe1633,-0.5
465,doe1635,-0.6
466,doe1637,-0.5
467,doe1639,-0.6
468,doe1641,-0.1
469,doe1643,-0.3
470,doe1645,-0.0
471,doe1647,-0.3
472,doe1649,-0.5
473,doe1651,-0.6
474,doe1653,-0.6
475,doe1655,-0.7
476,doe1657,0.0
477,doe1659,0.0
478,doe1661,-0.1
479,doe1663,-0.0
480,doe1697,-1.3
481,doe1699,-1.3
482,doe1701,-1.7
483,doe1703,-1.7
484,doe1705,-1.8
485,doe1707,-2.1
486,doe1709,-2.4
487,doe1711,-2.8
488,doe1713,-0.7
489,doe1715,-0.8
490,doe1717,-1.0
491,doe1719,-1.1
492,doe1721,-1.5
493,doe1723,-1.8
494,doe1725,-2.0
495,doe1727,-2.2
496,doe1761,-2.2
497,doe1763,-2.1
498,doe1765,-2.2
499,doe1767,-1.9
500,doe1769,-2.9
501,doe1771,-3.3
502,doe1773,-2.8
503,doe1775,-3.2
504,doe1777,-1.3
505,doe1779,-1.4
506,doe1781,-1.4
507,doe1783,-1.5
508,doe1785,-2.0
509,doe1787,-2.3
510,doe1789,-2.1
511,doe1791,-2.4
512,doe1825,-1.0
513,doe1827,-0.8
514,doe1829,-1.0
515,doe1831,-0.8
516,doe1833,-0.5
517,doe1835,-0.5
518,doe1837,-0.4
519,doe1839,-0.4
520,doe1841,-1.1
521,doe1843,-1.6
522,doe1845,-1.1
523,doe1847,-1.5
