,DOE,r1,r2,r3,r4,theta1,theta2,theta3,theta4,theta5,theta6
0,doe1,2.1058689879862285,2.135111142880135,0.37568318092437303,2.00849387600537,68.96717416278257,121.41186893829496,73.65811624268184,120.78892763017573,68.27974746256326,163.78339701434933
1,doe2,2.3491736193062045,2.135111142880135,0.37568318092437303,2.00849387600537,72.5163423690255,114.11290702688032,80.85595536468267,120.78892763017573,68.27974746256326,163.78339701434933
2,doe3,2.1058689879862285,2.1407261275339473,0.37568318092437303,2.00849387600537,63.25335788955789,121.41186893829496,73.65811624268184,116.4941638774598,74.42057726703912,163.78339701434933
3,doe4,2.3491736193062045,2.1407261275339473,0.37568318092437303,2.00849387600537,65.94288120358092,114.11290702688032,80.85595536468267,116.4941638774598,74.42057726703912,163.78339701434933
4,doe5,2.1058689879862285,2.135111142880135,0.6260850114556674,2.00849387600537,68.96717416278257,91.6574762799042,73.65811624268184,114.68670303565682,68.27974746256326,163.1466066133867
5,doe6,2.3491736193062045,2.135111142880135,0.6260850114556674,2.00849387600537,72.5163423690255,84.34788283983775,80.85595536468267,114.68670303565682,68.27974746256326,163.1466066133867
6,doe7,2.1058689879862285,2.1407261275339473,0.6260850114556674,2.00849387600537,63.25335788955789,91.6574762799042,73.65811624268184,106.73046225645848,74.42057726703912,163.1466066133867
7,doe8,2.3491736193062045,2.1407261275339473,0.6260850114556674,2.00849387600537,65.94288120358092,84.34788283983775,80.85595536468267,106.73046225645848,74.42057726703912,163.1466066133867
8,doe9,2.1058689879862285,2.135111142880135,0.37568318092437303,1.8367773467312885,68.96717416278257,121.41186893829496,65.62021808109039,120.78892763017573,67.83367118537039,169.76372044184714
9,doe10,2.3491736193062045,2.135111142880135,0.37568318092437303,1.8367773467312885,72.5163423690255,114.11290702688032,72.77632558026639,120.78892763017573,67.83367118537039,169.76372044184714
10,doe11,2.1058689879862285,2.1407261275339473,0.37568318092437303,1.8367773467312885,63.25335788955789,121.41186893829496,65.62021808109039,116.4941638774598,72.86770131115968,169.76372044184714
11,doe12,2.3491736193062045,2.1407261275339473,0.37568318092437303,1.8367773467312885,65.94288120358092,114.11290702688032,72.77632558026639,116.4941638774598,72.86770131115968,169.76372044184714
12,doe13,2.1058689879862285,2.135111142880135,0.6260850114556674,1.8367773467312885,68.96717416278257,91.6574762799042,65.62021808109039,114.68670303565682,67.83367118537039,155.21257939344835
13,doe14,2.3491736193062045,2.135111142880135,0.6260850114556674,1.8367773467312885,72.5163423690255,84.34788283983775,72.77632558026639,114.68670303565682,67.83367118537039,155.21257939344835
14,doe15,2.1058689879862285,2.1407261275339473,0.6260850114556674,1.8367773467312885,63.25335788955789,91.6574762799042,65.62021808109039,106.73046225645848,72.86770131115968,155.21257939344835
15,doe16,2.3491736193062045,2.1407261275339473,0.6260850114556674,1.8367773467312885,65.94288120358092,84.34788283983775,72.77632558026639,106.73046225645848,72.86770131115968,155.21257939344835
16,doe17,1.6509028158955903,2.135111142880135,0.37568318092437303,2.00849387600537,58.51283655282399,101.11378528842307,95.10268028375178,120.78892763017573,68.27974746256326,163.78339701434933
17,doe18,1.9429058729435407,2.135111142880135,0.37568318092437303,2.00849387600537,65.2180939482684,94.86139568798214,101.30797767556795,120.78892763017573,68.27974746256326,163.78339701434933
18,doe19,1.6509028158955903,2.1407261275339473,0.37568318092437303,2.00849387600537,49.86549059673164,101.11378528842307,95.10268028375178,116.4941638774598,74.42057726703912,163.78339701434933
19,doe20,1.9429058729435407,2.1407261275339473,0.37568318092437303,2.00849387600537,56.357300560354275,94.86139568798214,101.30797767556795,116.4941638774598,74.42057726703912,163.78339701434933
20,doe21,1.6509028158955903,2.135111142880135,0.6260850114556674,2.00849387600537,58.51283655282399,74.407684898257,95.10268028375178,114.68670303565682,68.27974746256326,163.1466066133867
21,doe22,1.9429058729435407,2.135111142880135,0.6260850114556674,2.00849387600537,65.2180939482684,67.41375455998994,101.30797767556795,114.68670303565682,68.27974746256326,163.1466066133867
22,doe23,1.6509028158955903,2.1407261275339473,0.6260850114556674,2.00849387600537,49.86549059673164,74.407684898257,95.10268028375178,106.73046225645848,74.42057726703912,163.1466066133867
23,doe24,1.9429058729435407,2.1407261275339473,0.6260850114556674,2.00849387600537,56.357300560354275,67.41375455998994,101.30797767556795,106.73046225645848,74.42057726703912,163.1466066133867
24,doe25,1.6509028158955903,2.135111142880135,0.37568318092437303,1.8367773467312885,58.51283655282399,101.11378528842307,88.13058799727229,120.78892763017573,67.83367118537039,169.76372044184714
25,doe26,1.9429058729435407,2.135111142880135,0.37568318092437303,1.8367773467312885,65.2180939482684,94.86139568798214,94.02240442562535,120.78892763017573,67.83367118537039,169.76372044184714
26,doe27,1.6509028158955903,2.1407261275339473,0.37568318092437303,1.8367773467312885,49.86549059673164,101.11378528842307,88.13058799727229,116.4941638774598,72.86770131115968,169.76372044184714
27,doe28,1.9429058729435407,2.1407261275339473,0.37568318092437303,1.8367773467312885,56.357300560354275,94.86139568798214,94.02240442562535,116.4941638774598,72.86770131115968,169.76372044184714
28,doe29,1.6509028158955903,2.135111142880135,0.6260850114556674,1.8367773467312885,58.51283655282399,74.407684898257,88.13058799727229,114.68670303565682,67.83367118537039,155.21257939344835
29,doe30,1.9429058729435407,2.135111142880135,0.6260850114556674,1.8367773467312885,65.2180939482684,67.41375455998994,94.02240442562535,114.68670303565682,67.83367118537039,155.21257939344835
30,doe31,1.6509028158955903,2.1407261275339473,0.6260850114556674,1.8367773467312885,49.86549059673164,74.407684898257,88.13058799727229,106.73046225645848,72.86770131115968,155.21257939344835
