C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu2O Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	18
KE_Cu2O Cu LMM	BE_Cu2O Cu LMM	CPS_Cu2O Cu LMM	Background_Cu2O Cu LMM
920.85	565.86	2944.11	2944.11
920.95	565.76	2890.83	2890.83
921.05	565.66	2855.72	2855.72
921.15	565.56	2860.17	2860.17
921.25	565.46	2838.56	2838.56
921.35	565.36	2802.83	2802.83
921.45	565.26	2779.28	2779.28
921.55	565.16	2766.44	2766.44
921.65	565.06	2750.83	2750.83
921.75	564.96	2734.72	2734.72
921.85	564.86	2722.11	2722.11
921.95	564.76	2712.5	2712.5
922.05	564.66	2689.56	2689.56
922.15	564.56	2659.78	2659.78
922.25	564.46	2641.22	2641.22
922.35	564.36	2612.61	2612.61
922.45	564.26	2595.44	2595.44
922.55	564.16	2568.61	2568.61
922.65	564.06	2549.89	2549.89
922.75	563.96	2531.89	2531.89
922.85	563.86	2507.78	2507.78
922.95	563.76	2482	2482
923.05	563.66	2463.44	2463.44
923.15	563.56	2429.94	2429.94
923.25	563.46	2403.83	2403.83
923.35	563.36	2377.28	2377.28
923.45	563.26	2366.83	2366.83
923.55	563.16	2349.17	2349.17
923.65	563.06	2341.83	2341.83
923.75	562.96	2330.44	2330.44
