C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
Cu Metal Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	1.5
KE_Cu Metal Cu LMM	BE_Cu Metal Cu LMM	CPS_Cu Metal Cu LMM	Background_Cu Metal Cu LMM
915.86	570.85	20892	20892
915.91	570.8	21280	21280
915.96	570.75	21380.7	21380.7
916.01	570.7	21440	21440
916.06	570.65	21570	21570
916.11	570.6	21847.3	21847.3
916.16	570.55	22068.7	22068.7
916.21	570.5	21992.7	21992.7
916.26	570.45	22000.7	22000.7
916.31	570.4	21854	21854
916.36	570.35	21837.3	21837.3
916.41	570.3	21666.7	21666.7
916.46	570.25	21476	21476
916.51	570.2	21411.3	21411.3
916.56	570.15	21256.7	21256.7
916.61	570.1	21108.7	21108.7
916.66	570.05	21182	21182
916.71	570	21038	21038
916.76	569.95	20790.7	20790.7
916.81	569.9	20829.3	20829.3
916.86	569.85	20798.7	20798.7
916.91	569.8	20805.3	20805.3
916.96	569.75	20829.3	20829.3
917.01	569.7	20732.7	20732.7
917.06	569.65	20968.7	20968.7
917.11	569.6	21168	21168
917.16	569.55	21460.7	21460.7
917.21	569.5	21618	21618
917.26	569.45	21742	21742
917.31	569.4	21751.3	21751.3
917.36	569.35	21916	21916
917.41	569.3	22256	22256
917.46	569.25	22350	22350
917.51	569.2	22600	22600
917.56	569.15	22983.3	22983.3
917.61	569.1	23498.7	23498.7
917.66	569.05	23902	23902
917.71	569	24446.7	24446.7
917.76	568.95	25080.7	25080.7
917.81	568.9	25886.7	25886.7
917.86	568.85	26670.7	26670.7
917.91	568.8	27716	27716
917.96	568.75	28897.3	28897.3
918.01	568.7	30111.3	30111.3
918.06	568.65	31512.7	31512.7
918.11	568.6	32956	32956
918.16	568.55	34786.7	34786.7
918.21	568.5	36592.7	36592.7
918.26	568.45	38532	38532
918.31	568.4	40343.3	40343.3
918.36	568.35	42286.7	42286.7
918.41	568.3	44248.7	44248.7
918.46	568.25	45708	45708
918.51	568.2	47074.7	47074.7
918.56	568.15	48290.7	48290.7
918.61	568.1	48600	48600
918.66	568.05	48534.7	48534.7
918.71	568	47914.7	47914.7
918.76	567.95	46934	46934
918.81	567.9	45111.3	45111.3
918.86	567.85	42792.7	42792.7
918.91	567.8	40574.7	40574.7
918.96	567.75	38184	38184
919.01	567.7	36057.3	36057.3
919.06	567.65	34234	34234
919.11	567.6	32055.3	32055.3
919.16	567.55	30331.3	30331.3
919.21	567.5	28920.7	28920.7
919.26	567.45	27567.3	27567.3
919.31	567.4	26493.3	26493.3
919.36	567.35	25602	25602
919.41	567.3	24861.3	24861.3
919.46	567.25	24124	24124
919.51	567.2	23789.3	23789.3
919.56	567.15	23315.3	23315.3
919.61	567.1	22795.3	22795.3
919.66	567.05	22232.7	22232.7
919.71	567	21826.7	21826.7
919.76	566.95	21424	21424
919.81	566.9	20954.7	20954.7
919.86	566.85	20565.3	20565.3
919.91	566.8	19778	19778
919.96	566.75	19162	19162
920.01	566.7	18480	18480
920.06	566.65	17922.7	17922.7
920.11	566.6	17336.7	17336.7
920.16	566.55	16851.3	16851.3
920.21	566.5	16410.7	16410.7
