C:\Users\Orlando\Documents\Postdoctoral_Work\Data\MC2_XPS_Oct2018\overlay of cu lmm auger peaks.vms
CuO Cu LMM
	Characteristic Energy eV	1486.71	Acquisition Time s	7.5
KE_CuO Cu LMM	BE_CuO Cu LMM	CPS_CuO Cu LMM	Background_CuO Cu LMM
921.28	565.43	2267.73	2267.73
921.38	565.33	2231.2	2231.2
921.48	565.23	2206.93	2206.93
921.58	565.13	2182.93	2182.93
921.68	565.03	2147.73	2147.73
921.78	564.93	2106.8	2106.8
921.88	564.83	2102	2102
921.98	564.73	2078	2078
922.08	564.63	2064.67	2064.67
922.18	564.53	2035.07	2035.07
922.28	564.43	2015.47	2015.47
922.38	564.33	1970.53	1970.53
922.48	564.23	2001.73	2001.73
922.58	564.13	1974.8	1974.8
922.68	564.03	1948.8	1948.8
922.78	563.93	1918.27	1918.27
922.88	563.83	1910.4	1910.4
922.98	563.73	1912.27	1912.27
923.08	563.63	1879.73	1879.73
923.18	563.53	1871.2	1871.2
923.28	563.43	1861.07	1861.07
923.38	563.33	1820.8	1820.8
923.48	563.23	1834.4	1834.4
923.58	563.13	1811.47	1811.47
923.68	563.03	1810.4	1810.4
923.78	562.93	1788.93	1788.93
923.88	562.83	1784	1784
923.98	562.73	1753.2	1753.2
924.08	562.63	1758.93	1758.93
924.18	562.53	1767.87	1767.87
