C:\Users\Orlando\Documents\Postdoctoral_Work\Data\GGB_XPS_Nov2018\20181119_CuOxide_corevamas.vms
Cu Auger/4
	Characteristic Energy eV	1486.71	Acquisition Time s	3	Step Size eV	0.05	No Steps	600
KE_Cu Auger/4	BE_Cu Auger/4	Background_Cu Auger/4
914.06	572.65	2729.17
914.11	572.6	2736.33
914.16	572.55	2741.33
914.21	572.5	2746.33
914.26	572.45	2777.33
914.31	572.4	2808.33
914.36	572.35	2816.5
914.41	572.3	2824.67
914.46	572.25	2824.5
914.51	572.2	2824.33
914.56	572.15	2840.5
914.61	572.1	2856.67
914.66	572.05	2853
914.71	572	2849.33
914.76	571.95	2845.17
914.81	571.9	2841
914.86	571.85	2860.67
914.91	571.8	2880.33
914.96	571.75	2906.33
915.01	571.7	2932.33
915.06	571.65	2981.5
915.11	571.6	3030.67
915.16	571.55	3045.5
915.21	571.5	3060.33
915.26	571.45	3116
915.31	571.4	3171.67
915.36	571.35	3207.67
915.41	571.3	3243.67
915.46	571.25	3272.67
915.51	571.2	3301.67
915.56	571.15	3374.33
915.61	571.1	3447
915.66	571.05	3464.33
915.71	571	3481.67
915.76	570.95	3524.67
915.81	570.9	3567.67
915.86	570.85	3654
915.91	570.8	3740.33
915.96	570.75	3799.5
916.01	570.7	3858.67
916.06	570.65	3916.33
916.11	570.6	3974
916.16	570.55	4051.33
916.21	570.5	4128.67
916.26	570.45	4185.33
916.31	570.4	4242
916.36	570.35	4308.83
916.41	570.3	4375.67
916.46	570.25	4411
916.51	570.2	4446.33
916.56	570.15	4497.17
916.61	570.1	4548
916.66	570.05	4517.67
916.71	570	4487.33
916.76	569.95	4465.33
916.81	569.9	4443.33
916.86	569.85	4428.17
916.91	569.8	4413
916.96	569.75	4358.67
917.01	569.7	4304.33
917.06	569.65	4232.5
917.11	569.6	4160.67
917.16	569.55	4093.33
917.21	569.5	4026
917.26	569.45	3948
917.31	569.4	3870
917.36	569.35	3801.17
917.41	569.3	3732.33
917.46	569.25	3658.83
917.51	569.2	3585.33
917.56	569.15	3516.67
917.61	569.1	3448
917.66	569.05	3406.5
917.71	569	3365
917.76	568.95	3298.17
917.81	568.9	3231.33
917.86	568.85	3214.33
917.91	568.8	3197.33
917.96	568.75	3140.17
918.01	568.7	3083
918.06	568.65	3047.17
918.11	568.6	3011.33
918.16	568.55	2953.67
918.21	568.5	2896
918.26	568.45	2873.17
918.31	568.4	2850.33
918.36	568.35	2797.67
918.41	568.3	2745
918.46	568.25	2729
918.51	568.2	2713
918.56	568.15	2710.5
918.61	568.1	2708
918.66	568.05	2664
918.71	568	2620
918.76	567.95	2597.83
918.81	567.9	2575.67
918.86	567.85	2566.33
918.91	567.8	2557
918.96	567.75	2501
919.01	567.7	2445
919.06	567.65	2452.17
919.11	567.6	2459.33
919.16	567.55	2449.83
919.21	567.5	2440.33
919.26	567.45	2418.17
919.31	567.4	2396
919.36	567.35	2379.83
919.41	567.3	2363.67
919.46	567.25	2347.67
919.51	567.2	2331.67
919.56	567.15	2297.5
919.61	567.1	2263.33
919.66	567.05	2246.67
919.71	567	2230
919.76	566.95	2195.5
919.81	566.9	2161
919.86	566.85	2150.67
919.91	566.8	2140.33
919.96	566.75	2102.33
920.01	566.7	2064.33
920.06	566.65	2070.33
920.11	566.6	2076.33
920.16	566.55	2055.5
920.21	566.5	2034.67
920.26	566.45	2017.67
920.31	566.4	2000.67
920.36	566.35	1980
920.41	566.3	1959.33
920.46	566.25	1950.17
920.51	566.2	1941
920.56	566.15	1938.5
920.61	566.1	1936
920.66	566.05	1913.83
920.71	566	1891.67
920.76	565.95	1886.83
920.81	565.9	1882
920.86	565.85	1872.83
920.91	565.8	1863.67
920.96	565.75	1862.83
921.01	565.7	1862
921.06	565.65	1855.83
921.11	565.6	1849.67
921.16	565.55	1827.5
921.21	565.5	1805.33
921.26	565.45	1790.67
921.31	565.4	1776
921.36	565.35	1777.5
921.41	565.3	1779
921.46	565.25	1769.67
921.51	565.2	1760.33
921.56	565.15	1755.67
921.61	565.1	1751
921.66	565.05	1743.17
921.71	565	1735.33
921.76	564.95	1734.17
921.81	564.9	1733
921.86	564.85	1711
921.91	564.8	1689
921.96	564.75	1701
922.01	564.7	1713
922.06	564.65	1709.5
922.11	564.6	1706
922.16	564.55	1690.67
922.21	564.5	1675.33
922.26	564.45	1669.67
922.31	564.4	1664
922.36	564.35	1635.17
922.41	564.3	1606.33
922.46	564.25	1611.83
922.51	564.2	1617.33
922.56	564.15	1616.67
922.61	564.1	1616
922.66	564.05	1596.83
922.71	564	1577.67
922.76	563.95	1548.33
922.81	563.9	1519
922.86	563.85	1538
922.91	563.8	1557
922.96	563.75	1535.5
923.01	563.7	1514
923.06	563.65	1515.67
923.11	563.6	1517.33
923.16	563.55	1499.33
923.21	563.5	1481.33
923.26	563.45	1475.5
923.31	563.4	1469.67
923.36	563.35	1455.83
923.41	563.3	1442
923.46	563.25	1425.5
923.51	563.2	1409
923.56	563.15	1410.67
923.61	563.1	1412.33
923.66	563.05	1426.33
923.71	563	1440.33
923.76	562.95	1421.33
923.81	562.9	1402.33
923.86	562.85	1396.17
923.91	562.8	1390
923.96	562.75	1408.17
924.01	562.7	1426.33
924.06	562.65	1420.17
924.11	562.6	1414
924.16	562.55	1397.17
924.21	562.5	1380.33
924.26	562.45	1365.33
924.31	562.4	1350.33
924.36	562.35	1356.17
924.41	562.3	1362
924.46	562.25	1357.5
924.51	562.2	1353
924.56	562.15	1355.5
924.61	562.1	1358
924.66	562.05	1358.33
924.71	562	1358.67
924.76	561.95	1335.5
924.81	561.9	1312.33
